iter	Passed	Remaining
0	129	129781
1	132	66034
2	137	45780
3	140	34929
4	141	28182
5	142	23671
6	144	20433
7	145	17994
8	146	16118
9	147	14633
10	151	13591
11	154	12682
12	155	11834
13	157	11070
14	158	10411
15	159	9837
16	161	9348
17	165	9039
18	168	8676
19	169	8312
20	170	7966
21	172	7647
22	173	7357
23	174	7102
24	175	6851
25	178	6684
26	180	6514
27	182	6349
28	184	6170
29	185	5993
30	186	5830
31	187	5676
32	188	5531
33	190	5398
34	191	5283
35	194	5210
36	197	5128
37	198	5028
38	200	4928
39	201	4827
40	202	4729
41	203	4638
42	205	4562
43	208	4526
44	210	4467
45	212	4405
46	213	4335
47	215	4269
48	216	4200
49	217	4132
50	218	4071
51	220	4024
52	223	3990
53	226	3963
54	227	3915
55	229	3864
56	230	3810
57	231	3764
58	233	3725
59	237	3716
60	239	3690
61	241	3659
62	243	3618
63	244	3576
64	245	3534
65	247	3496
66	250	3482
67	252	3466
68	255	3445
69	256	3410
70	258	3376
71	259	3339
72	260	3305
73	261	3277
74	263	3246
75	266	3235
76	267	3210
77	269	3190
78	271	3166
79	273	3140
80	274	3111
81	275	3083
82	276	3051
83	277	3024
84	278	3003
85	281	2994
86	284	2982
87	285	2961
88	287	2938
89	288	2914
90	289	2889
91	290	2864
92	291	2839
93	292	2818
94	294	2803
95	296	2790
96	298	2777
97	300	2765
98	301	2745
99	303	2727
100	304	2713
101	306	2694
102	307	2675
103	310	2673
104	312	2665
105	314	2651
106	315	2634
107	317	2620
108	318	2604
109	319	2586
110	321	2571
111	322	2555
112	325	2553
113	327	2545
114	328	2529
115	330	2515
116	331	2499
117	332	2484
118	333	2470
119	334	2455
120	336	2443
121	338	2434
122	340	2430
123	344	2434
124	345	2421
125	347	2408
126	348	2392
127	349	2380
128	362	2447
129	364	2436
130	365	2425
131	366	2412
132	370	2413
133	372	2410
134	375	2406
135	376	2393
136	378	2381
137	379	2369
138	380	2355
139	382	2346
140	385	2346
141	386	2336
142	389	2333
143	390	2323
144	392	2312
145	393	2301
146	394	2290
147	396	2282
148	400	2286
149	403	2286
150	405	2278
151	406	2268
152	407	2258
153	409	2247
154	410	2237
155	413	2239
156	417	2241
157	419	2236
158	420	2226
159	422	2218
160	423	2205
161	424	2195
162	425	2186
163	429	2187
164	431	2184
165	434	2183
166	436	2175
167	437	2166
168	438	2157
169	439	2147
170	441	2140
171	444	2140
172	449	2148
173	450	2140
174	452	2131
175	453	2122
176	454	2112
177	455	2102
178	457	2100
179	460	2099
180	463	2096
181	464	2089
182	466	2081
183	467	2073
184	468	2063
185	469	2055
186	471	2048
187	474	2050
188	477	2050
189	480	2047
190	481	2040
191	482	2032
192	484	2026
193	485	2018
194	489	2019
195	491	2017
196	494	2015
197	496	2009
198	497	2001
199	498	1994
200	499	1986
201	502	1985
202	505	1986
203	508	1983
204	510	1977
205	511	1970
206	512	1963
207	513	1955
208	514	1948
209	516	1941
210	519	1941
211	521	1939
212	524	1936
213	525	1930
214	526	1923
215	528	1916
216	529	1909
217	530	1901
218	532	1899
219	535	1899
220	538	1898
221	540	1893
222	541	1887
223	543	1881
224	544	1874
225	545	1868
226	548	1868
227	551	1866
228	553	1864
229	555	1859
230	556	1853
231	558	1847
232	559	1841
233	560	1834
234	564	1836
235	566	1834
236	568	1831
237	570	1825
